Número Município Nome
     1 1100015   Alta Floresta D'Oeste           
  4233 5103809   Figueirópolis D'Oeste           
  4234 5103858   Gaúcha do Norte                 
  4235 5103908   General Carneiro                
  4236 5103957   Glória D'Oeste                  
  4237 5104203   Guiratinga                      
  4238 5104500   Indiavaí                        
  4239 5104526   Ipiranga do Norte               
  4240 5104542   Itanhangá                       
  4241 5104559   Itaúba                          
  4242 5104609   Itiquira                        
  4243 5104906   Jangada                         
  4244 5105002   Jauru                           
  4245 5105176   Juruena                         
  4246 5105200   Juscimeira                      
  4247 5105234   Lambari D'Oeste                 
  4248 5105309   Luciára                         
  4249 5105507   Vila Bela da Santíssima Trindade
  4250 5105580   Marcelândia                     
  4251 5105606   Matupá                          
  4252 5105622   Mirassol d'Oeste                
  4253 5105903   Nobres                          
  4254 5106000   Nortelândia                     
  4255 5106109   Nossa Senhora do Livramento     
  4256 5106158   Nova Bandeirantes               
  4257 5106174   Nova Nazaré                     
  4258 5106182   Nova Lacerda                    
  4259 5106190   Nova Santa Helena               
  4260 5106208   Nova Brasilândia                
  4261 5106216   Nova Canaã do Norte             
  4262 5106232   Nova Olímpia                    
  4263 5106240   Nova Ubiratã                    
  4264 5106257   Nova Xavantina                  
  4265 5106265   Novo Mundo                      
  4266 5106273   Novo Horizonte do Norte         
  4267 5106281   Novo São Joaquim                
  4268 5106299   Paranaíta                       
  4269 5106307   Paranatinga                     
  4270 5106315   Novo Santo Antônio              
  4271 5106372   Pedra Preta                     
  4272 5106422   Peixoto de Azevedo              
  4273 5106455   Planalto da Serra               
  4274 5106505   Poconé                          
  4275 5106653   Pontal do Araguaia              
  4276 5106703   Ponte Branca                    
  4277 5106778   Porto Alegre do Norte           
  4278 5106802   Porto dos Gaúchos               
  4279 5106828   Porto Esperidião                
  4280 5106851   Porto Estrela                   
  4281 5107008   Poxoréo                         
  4282 5107065   Querência                       
  4283 5107107   São José dos Quatro Marcos      
  4284 5107156   Reserva do Cabaçal              
  4285 5107180   Ribeirão Cascalheira            
  4286 5107198   Ribeirãozinho                   
  4287 5107206   Rio Branco                      
  4288 5107248   Santa Carmem                    
  4289 5107263   Santo Afonso                    
  4290 5107297   São José do Povo                
  4291 5107305   São José do Rio Claro           
  4292 5107354   São José do Xingu               
  4293 5107404   São Pedro da Cipa               
  4294 5107578   Rondolândia                     
  4295 5107701   Rosário Oeste                   
  4296 5107743   Santa Cruz do Xingu             
  4297 5107750   Salto do Céu                    
  4298 5107768   Santa Rita do Trivelato         
  4299 5107776   Santa Terezinha                 
  4300 5107792   Santo Antônio do Leste          
  4301 5107800   Santo Antônio do Leverger       
  4302 5107859   São Félix do Araguaia           
  4303 5107875   Sapezal                         
  4304 5107883   Serra Nova Dourada              
  4305 5107941   Tabaporã                        
  4306 5108006   Tapurah                         
  4307 5108055   Terra Nova do Norte             
  4308 5108105   Tesouro                         
  4309 5108204   Torixoréu                       
  4310 5108303   União do Sul                    
  4311 5108352   Vale de São Domingos            
  4312 5108501   Vera                            
  4313 5108600   Vila Rica                       
  4314 5108808   Nova Guarita                    
  4315 5108857   Nova Marilândia                 
  4316 5108907   Nova Maringá                    
  4317 5108956   Nova Monte Verde                
  4318 5200050   Abadia de Goiás                 
  4319 5200100   Abadiânia                       
  4320 5200134   Acreúna                         
  4321 5200159   Adelândia                       
  4322 5200175   Água Fria de Goiás              
  4323 5200209   Água Limpa                      
  4324 5200308   Alexânia                        
  4325 5200506   Aloândia                        
  4326 5200555   Alto Horizonte                  
  4327 5200605   Alto Paraíso de Goiás           
  4328 5200803   Alvorada do Norte               
  4329 5200829   Amaralina                       
  4330 5200852   Americano do Brasil             
  4331 5200902   Amorinópolis                    
